"Date","Noncommercial Positions-Net (All)","Name","Unit"
"2018-05-29",9477,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-06-05",7345,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-06-12",10969,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-06-19",-19206,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-06-26",-21581,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-07-03",-28781,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-07-10",-40403,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-07-17",-38752,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-07-24",-46743,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-07-31",-47386,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-08-07",-58852,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-08-14",-60741,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-08-21",-72338,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-08-28",-76928,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-09-04",-69613,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-09-11",-61179,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-09-18",-79258,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-09-25",-67078,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-10-02",-59340,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-10-09",-60507,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-10-16",-50353,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-10-23",-46997,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-10-30",-52482,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-11-06",-56799,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-11-13",-47107,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-11-20",-43478,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-11-27",-39150,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-12-04",-39750,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-12-11",-42419,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-12-18",-60723,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-12-24",-56479,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2018-12-31",-56914,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-01-08",-60092,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-01-15",-60476,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-01-22",-52111,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-01-29",-35196,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-02-05",-33744,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-02-12",-42944,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-02-19",-47528,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-02-26",-39263,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-03-05",-34929,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-03-12",-36696,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-03-19",-13774,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-03-26",-8582,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-04-02",-9931,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-04-09",-6516,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-04-16",922,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-04-23",-1835,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-04-30",-4668,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-05-07",-6879,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-05-14",-3318,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-05-21",-26152,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-05-28",-31996,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-06-04",-47762,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-06-11",-44801,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-06-18",-52564,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-06-25",-58937,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-07-02",-64244,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-07-09",-72982,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-07-16",-76357,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-07-23",-78583,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-07-30",-90150,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-08-06",-102702,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-08-13",-95820,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-08-20",-92418,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-08-27",-89028,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-09-03",-84959,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-09-10",-92233,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-09-17",-86124,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-09-24",-80795,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-10-01",-77092,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-10-08",-73219,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-10-15",-72952,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-10-22",-52440,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-10-29",-32415,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-11-05",-29035,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-11-12",-28133,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-11-19",-31903,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-11-26",-36576,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-12-03",-30050,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-12-10",-22639,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-12-17",-5780,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-12-24",8697,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2019-12-31",12393,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-01-07",16510,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-01-14",31532,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-01-21",24922,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-01-28",17689,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-02-04",12987,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-02-11",21084,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-02-18",29258,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-02-25",29598,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-03-03",35162,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-03-10",26328,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-03-17",18640,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-03-24",10884,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-03-31",4993,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-04-07",3693,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-04-14",3232,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-04-21",-1380,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-04-28",-6681,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-05-05",-12005,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-05-12",-13688,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-05-19",-18989,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-05-26",-22257,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-06-02",-36044,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
"2020-06-09",-24048,"BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE","(CONTRACTS OF GBP 62,500)"
" Source:U.S. COMMODITY FUTURES TRADING COMMISSION",,,
"CFTC建玉明細",,,
